Comment,Designator,Footprint,LCSC Part Number
TL072,"U6,U4,U3,U2",SOIC-8_3.9x4.9mm_P1.27mm,C6961
10k,"R23,R25,R24,R22,R21, R14, R19",R_0603_1608Metric,C25804
51k,R20,R_0603_1608Metric,C23196
82R,R18,R_0603_1608Metric,C23255
4k7,R17,R_0603_1608Metric,C23162
220,R16,R_0603_1608Metric,C22962
270k,R15,R_0603_1608Metric,C22965
150k,R28,R_0603_1608Metric,C22807
680k,R27,R_0603_1608Metric,C25822
100k,R26,R_0603_1608Metric,C25803
15k,"R13,R11,R10,R8,R7,R5,R4,R1",R_0603_1608Metric,C22809
180,"R12,R9,R6",R_0603_1608Metric,C22828
47R,R3,R_0603_1608Metric,C23182
3k3,R2,R_0603_1608Metric,C22978
1N4148W,"D2,D1",D_SOD-123,C81598
1n2,"C12,C10",C_0603_1608Metric,C30615
3n3,C11,C_0603_1608Metric,C1613
100nF,"C26,C25,C24,C23,C22,C21,C20,C19,C18,C17",C_0603_1608Metric,C14663
10uF,"C16,C15",C_0805_2012Metric,C15850
100pF,C14,C_0603_1608Metric,C14858
1n5,"C7,C5,C3",C_0603_1608Metric,C1595
4n7,C1,C_0603_1608Metric,C53987
